first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose,Gender
2020/5/3,2020/5/9,75-79,נקבה,939,<15,<15,,,,,female
2020/5/3,2020/5/9,75-79,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,80+,זכר,2109,<15,<15,,,,,male
2020/5/3,2020/5/9,80+,נקבה,4874,<15,<15,,,,,female
2020/5/3,2020/5/9,80+,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,NULL,זכר,617,<15,0,,,,,male
2020/5/3,2020/5/9,NULL,לא ידוע,72,0,0,,,,,unknown
2020/5/3,2020/5/9,NULL,נקבה,793,<15,0,,,,,female
2020/5/10,2020/5/16,0-19,זכר,2325,22,0,,,,,male
2020/5/10,2020/5/16,0-19,לא ידוע,<15,0,0,,,,,unknown
2020/5/10,2020/5/16,0-19,נקבה,1870,26,0,,,,,female
2020/5/10,2020/5/16,20-24,זכר,1170,<15,0,,,,,male
